,product_name,product_url,product_price,product_rating,product_review_count,asin,manufacturer,description,product_descritpion
26,"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Red,Grey) Sch Bag",https://www.amazon.in/F-Gear-Blow-Laptop-Backpack-Red/dp/B0749MPCFT,"1,096",4.4,281,B0749MPCFT,HARISSONS,"  Water Proof with attached Rain cover.    Reflective Printing and in Built Laptop sleeve    3 compartment, 1 pockets and 2 Bottle pouch.    Comes with the F Gear promise of quality.    Size(Hxlxw)Cm-(50x31x21)   "," 
 Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture. Comes with the F Gear promise for quality.  "
29,Urban Tribe Fitpack Neo Multipurpose 15.6 Inch| Water Repellent |26 Litres | Laptop Gym Backpack With Shoe Compartment For Men And Women (Beige),https://www.amazon.in/Blackpink-Backpack-Charging-Headset-College/dp/B09XMGJZH8,"1,598",3.8,43,B09XMGJZH8,Chic,"  [Lightweight & Durable]:This girl travel backpack is made of durable and eco-friendly nylon, soft internal Polyester lining around compartments to protect your items. The Shoulder belt and back side made of honeycomb breathable material, ergonomic design ensures the dispersion of gravity of the backpack. <br>    [Practical & Founctional Backpack]: 30*21*44CM (11.8*8.26*17.3IN)The backpack has 2 main pockets, multi inner pockets, 2 side pockets.Can easily accomdate laptop of 15.6 inch and below. Convenient main pockets for books, iPad, charger, binders, books, clothes, ect.Two side pockets for water bottle and compact umbrella make your items organized. <br>    [Cable Jack Design]: With cable hole design, you can enjoy music or charing phone on the road, saving the trouble of holding your phone all the time, and also can ensure the property safety.; [Cartoon Figurature Print with Cute Pendent]:Cartoon idol figurature print is popular in young teens. This is a school backpack, travel backpack, laptop bag, conveniet and practical large capacity backpack, to free your hands with all your stuff in the bag. <br>    [Great Gift for Student]:A nice school gift for kids, combining the function of practical and function. Large capacity can meet most item storage need and the breathable shoulder pad is more comfortable for shoulder. Fashion design and durable material makes it a great backpack for girls,teens. <br>    Style Name: Travel Backpacks; Strap Type: Shoulder Strap; Special Features: Laptop Compartment <br>   "," 
 QualityProduct  "
32,VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),https://www.amazon.in/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ,899,4.3,406,B0B527KJQZ,Lenovo,"  Padded, Comfortable Shoulder Strap    Easy access front pocket    Soft Grip handles    Stylish Design   "," 
 VIP ENDURA, the one stop solution for all your micro travel needs, Speciaous main compartment, Soft Grip handles, Padded, Comfortable, Easy access front pocket, Stylish Design  "
34,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,390,3.9,"2,527",B0757K36YV,AirCase,"  Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant    Capacity: 20 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable    Special Features: Laptop Compartment; Closure Type: Zipper; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Age Range Description: Adult   "," 
 One wide access main compartment, one additional front pocket and one bottle pocket. Easily Adjustable padded shoulder straps with anti-sweat fabric underneath.  "
44,F Gear Colorado Grey Orange 39 Ltrs Laptop Backpack (3814),https://www.amazon.in/Gear-Colorado-Orange-Laptop-Backpack/dp/B097K6KD7W,560,4.3,111,B097K6KD7W,F,"  2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.    One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.    Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.    World’s best Japanese brand YKK zippers and sliders.    Comes with the F Gear promise of quality and durability.   "," 
 F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.  "
45,F Gear Yakuza Brown 34 liter Laptop Backpack Sch Bag,https://www.amazon.in/F-Gear-Yakuza-Brown-Laptop-Backpack/dp/B071VNWC1C,981.,4.4,801,B071VNWC1C,F,  2 Compartment with laptop sleeve (Up to 18 inch) with comprehensive pen-accessories organizer and one mesh zip pocket.    2 Exterior Pockets and 2 side mesh bottle holder. Adjustable shoulder strip    Adjustable Shoulder Strip    Foam Padded Straps    Size-(Hxlxw) Cm-(46x34x18) Cm   ," 
 The spacious bag as has space for everything you need while travelling and will keep you comfortable and organized. 2 Compartment Laptop Backpack Equipped With One Large Packing Compartment, Built-In Padded Tablet Holder Next To the Laptop Compartment. 2 Exterior pockets The F Gear backpack also comes with padded back and shoulder straps for comfort.  "
52,"F Gear Fortune Navy Blue, Red 27 Liters Laptop Backpack (2700)",https://www.amazon.in/F-Gear-Fortune-Backpack-Navy-Blue/dp/B07B7K7212,747,4.1,491,B07B7K7212,PACKNBUY,"  Either Trekking bag or Backpack, Dual loops for holding ice axes    Large zippered main compartment with laptop sleeve up to 16 inches    Adjustable straps fit perfectly over the shoulders    Size-(LxHxW) Cm-(27x49x21) Cm    It comes with the F Gear promise of quality. Note: There might be minor color variation between actual product and image shown on screen due to lighting on the photography   "," 
 Well if you are looking for a backpack which is sleek, fashionable and can also be used as a trekking bag your search ends here. fortune from f gear can be used either as an everyday backpack or a small sized trekking bag. it has one huge compartment with a laptop sleeve. this can be used for books, clothes or any bulky items. apart from this there is one more compartment and two big pockets with organizer. it has two bottle holders, two finger loops and chest straps for comfort wearing. dual loops for holding ice axes present. padded shoulder straps and padded back add to it. side compressor straps maintain the sleek look of a fully filled bag. you definitely will love using this bag. comes with the f gear promise of quality.  "
61,Gear ECO1 24L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women- Grey-Black-Yellow,https://www.amazon.in/Gear-Polyester-Laptop-Backpack-LBPECONO10412/dp/B012NW0J30,854,4.2,"1,420",B012NW0J30,uppercase,"  Outer Material: Polyester, Color: Denim Grey    Capacity: 24 liters; Dimensions: 46 cms x 33 cms x 16 cms (LxWxH)    Number of Compartments: 3    Bottle holder mesh; Embedded organizer    Style Name: Traditional Backpacks; Pocket Description: Utility Pocket; Special Features: Back Padding; Water Resistance Level: Waterproof; Closure Type: Zipper; Pattern Name: Solid    Three main compartments    One front smaller compartment   "," 
 Three main compartments one front smaller compartment bottle holder mesh embedded organizer heavily padded sleeve which fits laptop padded grab handle.  "
63,Gear Compact Business 18L Water Resistant Laptop Bag/Backpack/Office Bag For Men/Women - Indiaink,https://www.amazon.in/Gear-Compact-Business-Backpack-BUSCOMPACT052/dp/B08D76WDTV,684,4.2,"1,084",B08D76WDTV,WALKENT,"  Outer Material: Our saree are of cotton and synthetic both, Color: India Ink    Water resistant. With Rain Cover : No ; color my vary due to photographic effect and lighting    Capacity: 17 liters; Weight: 400 grams; Dimensions: 45 cms x 30 cms x 13 cms (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15.4Strap Type: Yes    Shoulder straps padded with pp foam/ eva sheet. Anti slip fabric / breathable spongy mesh on shoulder stpars   "," 
 All Gear bag are manufactured from our self owned factories with specially trained manpower to ensure consistency in quality amd refined craftsmanship.  "
64,"WALKENT 15.6"" Laptop Bag 27L (Craft) Anti-Theft, Waterproof, Expandable, External USB for Office College Men Women",https://www.amazon.in/WALKENT-Craft-Laptop-Bag-Anti-Theft/dp/B0978JT5HR,"2,365",4.2,362,B0978JT5HR,Half,"  Care Instructions: Wipe with Damp Cloth    WALKENT Craft Laptop Bag lets you stay organized and keep your belongings safe with multiple compartments, including anti-theft pockets and cushioned laptop compartments    Carry the Walkent Craft laptop backpack in three ways: as a school bag, handbag, or suitcase. Waterproof and scratch resistant outer ensures your gadgets and stuff stay safe and dry    Never run out of space with expandable bags that open up to 180 degrees    Charge your devices on the go with the external USB port, making it the perfect travel companion    Experience ultimate comfort with cushioned and padded shoulder straps and back, perfect for extended use   "," 
 Introducing the WALKENT Craft Laptop Backpack, the ultimate choice for anyone who wants to stay organized & stylish on the go. This backpack is the perfect combination of functionality and style. Here's a breakdown of its features:🎒 WATER-RESISTANT & SCRATCH-RESISTANT outer to keep your belongings safe and dry in all weather conditions🎒 3-IN-1 CARRYING STYLE is the standout features of the Walkent Craft is its versatility. With its ability to transform into three different styles - a school bag, a hand bag, or a suitcase - you can customize your bag to meet your needs 🎒 180° DEGREE OPENABLE backpack allows this bag to be opened like a suitcase to better organize & arrange things 🎒 EXPANDABLE DESIGN for added storage, ensuring you never run out of space🎒STYLISH DESIGN which is perfect for use in both office & college settings🎒 MULTIPLE COMPARTMENTS including anti-theft pockets, front utility pockets allowing you to stay organized & keep your essentials close at hand🎒 CUSHIONED LAPTOP COMPARTMENTS protects your laptop from all sides thus ensuring your gadget stays secure & protected 🎒 IDEAL FOR 15.6-INCH LAPTOPS & 10.2-inch tablets 🎒 CUSHIONED & PADDED SHOULDER STRAPS & BACK for maximum comfort even during extended use🎒 TROLLEY SLEEVE for easy travel attachment, making it the perfect travel companion. Easily attach your bag to your luggage & breeze through the airport.🎒 EXTERNAL USB PORT is necessary if you're someone who loves to stay connected. You'll appreciate the Walkent Craft's external USB port, which makes it easy to charge your devices on the go 🎒 With HIGH-QUALITY DURABLE ZIPPER you can trust that your bag will last for years to comeThe Walkent Craft is the perfect choice for anyone who wants a functional & stylish laptop backpack that can keep up with their busy lifestyle. Order yours today and start experiencing the ultimate in comfort, convenience, and style.  "
68,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/uppercase-Professional-Anti-theft-resistant-sustainable/dp/B0BSH4H4DB,"2,300",4.2,12,B0BSH4H4DB,HP,"  Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded anti-theft laptop compartment fits up to 15.6"" Laptop and a tablet compartment; Zipper Pocket in front along with a slip In Pocket in front; Internal Organisers with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Comfortable Padded shoulder straps    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty   "," 
 Introducing the ultimate ""Matrix"" backpack for the modern, on-the-go professional. With a dedicated anti-theft laptop compartment (15.6'), you can rest easy knowing your valuable device is secure. The backpack also features a tablet sleeve, multiple organizers, and a quick-access pocket for all your essentials. Made with premium, sustainable materials, this backpack is not only functional but also environmentally friendly. Whether you're heading to work or traveling the world, this backpack has got you covered.  "
70,Wildcraft CL2 Laptop bagpack (Black),https://www.amazon.in/Wildcraft-CL2-laptop-bagpack-Black/dp/B00L14FKD6,"1,585",4.1,176,B00L14FKD6,Half,  Wildcraft product    Polyester material    Black color   ," 
 This bacpackA which has been designed to make your interaction with the outdoors more comfortable. Featuring a padded back, shoulder and base and a laptop sleeve, this backpack sits snuggly on your back during all your hikes and day trips.  "
74,Kore Regular Gym Bag,https://www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF,59,2.9,"3,848",B0974FLG22,Protecta,"  Dimensions : 45 x 24 x 24; Weight : 300 gm; Material : Tetron    Full access to the main compartment with the center zipper opening.    This lightweight gym bag will stylishly carry your workout clothes and other essentials from your home to gym sport.    This is the perfect value bag intended use for athletic, gym, travel, camping, hiking, weekend and carry on or overnight as it is spacious as well as functional.    Country of Origin: India   "," 
 This stylish unisex gym bag provides multiple carrying options. The adjustable straps help you comfortably carry it on your shoulders. Ideal for use at gym/swimming and any sport requiring a small multi-purpose gym bag. Light weight material with high grade zippers and adjustable shoulder straps and carry handle. Full access to the main compartment with the centre zipper opening.  "
76,F Gear Samurai Black 30 liter Laptop Backpack Sch Bag,https://www.amazon.in/F-Gear-Samurai-Black-Laptop-Backpack/dp/B071F2M8CW,892,4.1,83,B071F2M8CW,PAZZO,  2 Compartment with laptop sleeve (Up to 18 inch) with comprehensive pen-accessories organizer one zip pocket.    2 Exterior Pocket and 2 side mesh bottle holder.    Adjustable Shoulder Strip    Foam Padded Straps    Size-(Hxlxw) Cm-(49x34x19) Cm   ," 
 A fashionable Art- leather 18 Inch laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions.  "
78,Wildcraft Streak 2.0 Plus Laptop Backpack 20L (Black),https://www.amazon.in/Wildcraft-Streak-Laptop-Backpack-Black/dp/B07YYLL4MP,"1,770",4.1,41,B07YYLL4MP,Skybags,  Colour: Black<br><br> <br>    Capacity: 20 L<br><br> <br>    Laptop Backpack<br><br> <br>    Special Features: Laptop Compartment<br> <br>    Water Resistance Level: Water Resistant; Pattern Name: Solid <br>   ," 
 Get this Streak 2.0 Plus Laptop Backpack, This comes in black colour.  "
79,"Skybags Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",https://www.amazon.in/Skybags-Arthur-Laptop-Backpack-Grey/dp/B07SRFGK6H,"1,499",3.9,587,B07SRFGK6H,Skybags,  Department: Unisex    Colour: Grey    Capacity: 30 L    Outer material type: Polyester   ," 
 The product will be an excellent pick for you. It ensures an easy maintenance.  "
80,Skybags New Neon 30 L Backpack (Purple),https://www.amazon.in/Skybags-New-Neon-Backpack-Purple/dp/B07SRHCF9R,999,4.3,100,B07SRHCF9R,xcluma,  Colour: Purple<br><br><br>    Capacity: 30 L<br><br><br>    Compact backpack<br><br><br>    Special Features: Back Padding; Closure Type: Zipper<br><br>    Water Resistance Level: Water Resistant; Material Type: Polyester; Age Range Description: Adult<br>   ," 
 Our collection is a range of modern and functional products crafted to suit the varying needs of the aspirational youth of the country. Leading the pack with more space and durability, Skybags has a bag for every need and occasion. We offer hard/soft luggage uprights, duffel trolleys, office bags, suitcases and briefcases.  "
82,Wildcraft 31.5 Ltrs Pack 2 Folk Navy Casual Backpack (12245_Folk_Navy)(HxWxD : 18.5x13x8)(inches),https://www.amazon.in/Wildcraft-Casual-Backpack-12245_Folk_Navy-HxWxD/dp/B083698S54,"1,535",4.3,66,B083698S54,wildcraft,  The Polyster wrinkle fabric has a unique look which is resistant to external stress and retain their shape.The fabrics made from nylon materials inherit resilience and are lightweight<br>; Special Features: Back Padding; Pattern Name: Checkered<br>; Pattern Name: Checkered; Special Features: Back Padding<br><br> <br>    Compartment Description: Not Laptop Compatible; Age Range Description: Kid; Water Resistance Level: Water Resistant; Material Type: Polyester<br><br> <br>    Closure Type: Zipper <br>   ," 
 Carry your look in style with our range of girls backpacks.Along With its slender shoulder straps,waist fit wings and ergonomic design,it's snazzy Checks are sure to add a little 'Check' to your ensemble  "
83,wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black),https://www.amazon.in/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ,"2,999",4.4,564,B019DWD8SQ,HOUSAI:,"  Outer Material: Nylon, Color: Black    Water Resistantce: Water resistant; Dimensions: 40 cms x 23 cms x 52 cms (LxWxH)    Laptop Compatibility: Yes, Size: 14 inches    Warranty type: Manufacturer; 5 years domestic warranty   "," 
 A stylish and trendy laptop backpacks from the house of Wildcraft with 3 compartment, outer material made of nylon and inner material made of polyester with soft shell type and zip closure closure type. It can be use for camping.  "
84,"HOUSAI: pack of 30 Plain white Paper Bags with Twisted Handles Suits in Gifting, Shopping & Food Packing, W/G/H = 8.5""X4""X11.5"" inch (Small)",https://www.amazon.in/HOUSAI-Twisted-Handles-Gifting-Shopping/dp/B09NW23HSV,558,3.9,9,B09NW23HSV,F,  CAPACITY OF BAG -3 Kg to Max 4 Kg    SPECILITY-THIS BAG IS MADE WITH 100% RECYCLED ECO-FRIENDLY PAPER    MATERIAL-100+ GSM & HIGH STRENGTH CRAFT PAPER    SQUARE BOTTOM BAGS WITH DURABLE HANDLES IN 7 COLOUR OPTIONS    DECORATE AS YOU WISH   ," 
 CONSTRUCTION: These bags are made from 100% recyclable Kraft paper. All the bags are made of high-quality 100+ gsm Kraft paper so they are sturdy and durable. CREATE YOUR OWN: Customize your own branded bag for any occasion. Start with unprinted plain bags as a blank canvas and then customize them with stickers, markers, paints, stamps, and anything else you can find. ECO FRIENDLY: These bags are easily recycled, reused, and composted because they are made from eco-friendly material. SQUARE BOTTOM & DURABLE HANDLES: Each bag has a square bottom base so it stands up while you load it. Kraft paper bags can hold several kg each. The bags are equipped with matching, sturdy, and reinforced paper twist handles that make the bag easy to carry. We use heavy-duty glue to secure the handles to the bag. MULTIPLE USES: Simple plain white Kraft bags are versatile so they can be used for events, retail stores, boutiques, as food take-out bags, bulk gift bags, or party favor bags. You can decorate them with drawings, colorings, stamps, and anything else your imagination comes up with. Use the bags for different holidays as gift bags for your loved ones. If you are not happy with the product, return it for an exchange or a refund  "
85,"F Gear Talent Laptop Backpack With Rain Cover 32 Liters (Grey,Black)",https://www.amazon.in/F-Gear-Talent-Laptop-Backpack-Grey/dp/B078KS2FX1,931,4.4,"1,103",B078KS2FX1,Wildcraft,"  Water Proof and Lightweight.    Dimension HxLxW- 20x12.5x8 Inch    A very big backpack with 3 huge compartments    Suitable for all laptops up to 17 Inch""    Reflective printing makes it the first choice for night and rainy conditions.   "," 
 An Awesome backpack from F Gear which is Specially designed as an everyday backpack for the youth. It is Lightweight and boasts of three huge compartments of which one is specially designed for laptop. It has a zippered pocket conveniently located at the bottom with a detachable Rain cover. Reflective printing makes it suitable for night and rainy conditions. Padded shoulder straps and back add to the comfort. Water Bottle Pouch available on both sides. Comes with F Gear promise of quality.  "
86,Wildcraft Work Packs'18 25 Ltrs Blue Laptop Backpack (ACE),https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-ACE/dp/B07GS9ZWFX,"1,630",3.6,10,B07GS9ZWFX,AirCase,"  Outer Material: Fabric, Color: Blue    Water resistant    Capacity: 25 liters; Weight: 530 grams; Dimensions: 18 inches x 13 inches x 6 inches (LxWxH)    Number of compartments: 3    Laptop Compatibility: Yes, Laptop Size: 15 Inches    Warranty type: Manufacturer; 5 Years Manufacturer Warranty    Padded back system for carrying comfort   "," 
 Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer.  "
87,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-Backpack-Lightweight-Waterproof-Spacious/dp/B0BS3QJNKT,929,2.7,4,B0BS3QJNKT,Pinklips,"  Innovative Design: AirCase Laptop Backpack is made of Premium Glossy Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls.    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46 cm X 29 cm X 19 cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.   "," 
"
88,Pinklips Shopping Blackpink Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_777,https://www.amazon.in/Pinklips-Shopping-Blackpink-Laptop-Backpack/dp/B0B7DL5GMY,"1,399",4.2,22,B0B7DL5GMY,F,"  Care Instructions: Machine Wash    Made of superior polyester material, durable and practical to use; Thicken breathable strap design and adjustable shoulder padded straps, comfortable to carry<br> <br>    Large capacity design of the bag, most of your daily necessities can be loaded.<br> <br>    Package Content : 1- Casual Laptop/School Bagpack, 1-Medium Size Shoulder/Side Bag, 1-Pencil/Makeup Bag<br> <br>    Closure Type: Zipper Snap; Age Range Description: Kid; Pattern Name: Solid; Subject Character: Disney; Special Features: Laptop Compartment<br> <br>    Style Name: Asian; Age Range Description: Big Kid; Strap Type: Shoulder Strap <br>   "," 
 Pinklips Shopping Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS)  "
89,F Gear Colorado Navy Lmn yelw 39 Ltrs Laptop Backpack (3813),https://www.amazon.in/Gear-Colorado-Navy-Laptop-Backpack/dp/B097K6SPH7,761,4.2,89,B097K6SPH7,HAMMONDS,"  2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.    One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.    Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.    World’s best Japanese brand YKK zippers and sliders.    Comes with the F Gear promise of quality and durability.   "," 
 F Gear presents gigantic laptop backpack blends style and functionality. It comes with substantial capacity to accommodate your laptop and several other essentials with ease. This bag does way more than just look good. It provides extra protection for all your valuable devices. The dimensions of the bag are - 34 x 22 x 52 with a capacity of 39 L. To describe it briefly here are the following points: 1. This backpack is made of polyester fabric and is treated to make it water-resistant. 2. This backpack comes with 2-main zippered compartment with an inside sleeve compatible for laptop. 3. This backpack has a front compartment with an organizer. 4. This backpack comes with one zippered front pocket & one quick access mesh zippered. 5. This backpack is equipped with thick padding with anti-sweat breathable air mesh & adjustable padded shoulder straps for extra comfort. 6. Apart from this it has world’s best Japanese brand YKK zippers and sliders. 7. This backpack has two mesh pockets on both sides. 8. Comes with the F Gear promise of quality and durability.  "
91,"AirCase Premium Canvas Backpack fits Upto 15.6"" Laptop, Lightweight & Easy to Clean, Spacious Bag for Office/ Travel/ College, Men & Women",https://www.amazon.in/AirCase-Backpack-Lightweight-Spacious-Warranty/dp/B0B2PCCXMN,999,4.7,4,B0B2PCCXMN,Storite,"  SPACIOUS, STYLISH & STRONG: Made with Premium cotton canvas, this water resistant backpack features padded shoulder straps & grab handle with heavy-duty zippers. The zippers have reinforced stitching which adds to the durability as well as gives a Style quotient to the Bag.    MULTI-PURPOSE & UNISEX: Along with Padded grab handle, this Laptop Backpack has a large space multi-functional compartment for laptop, iPad and books, secure laptops up to 15.6 inch with Velcro closure.    DURABILITY: The Bag’s Strong & Sturdy Built comes from premium quality materials. Its base has an added layer of Impact resistant material.    LIGHTWEIGHT & TRAVEL FRIENDLY: Light as a feather, it is the need of working professionals, College students, smart travellers and is a perfect accessory for sports enthusiasts. It has an inner zippered compartment to segregate small accessories.    COMPATIBILITY: Compatible with all the major brands of Laptop including Acer, Apple ipad, Tabs, Asus, Hp, Dell, Microsoft Surface, Lenovo, Toshiba, Sony, Fujitsu, Sony Vaio, IBM, IBM ThinkPad, Wipro, LG, Samsung, MicroMax, HCL NetBooks, Chromebook, UBantu Devices and other brands and other 15.6” Laptops.   "," 
"
93,Aristocrat Unisex Black Premium Poleyester Fabric 26L Laptop Bags,https://www.amazon.in/Aristocrat-Unisex-Premium-Poleyester-Fabric/dp/B09ZV9MSFQ,807,3.8,44,B09ZV9MSFQ,House,  Spacious Laptop compatible backpack 2 Spacious Compartments Quick access front pocket Organizer Side Mesh & Fabric Pocket Shoulder strap re-enforcement Padded Grab Handle   ," 
 Spacious Laptop compatible backpack 2 Spacious Compartments Quick access front pocket Organizer Side Mesh & Fabric Pocket Shoulder strap re-enforcement Padded Grab Handle  "
95,F Gear Millionaire Doby 36 Ltrs Black Laptop Backpack (3201),https://www.amazon.in/F-Gear-Millionaire-Doby-Black-Laptop-Backpack/dp/B07XMLCYTH,986,4.0,29,B07XMLCYTH,Tabelito®,"  Outer Material: Polyester, Color: Black    Waterproof    Capacity: 36 liters; Weight: 950 grams; Dimensions: 35 cms x 23 cms x 48 cms (LxWxH)    Number of Wheels: 0, Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17 inchesStrap Type: Adjustable    Warranty type: Manufacturer; 1 year manufacturer warranty is non-transferable and valid for 1 year from the original date of purchase    Hidden Secret Pocket at back   "," 
 This F Gear Millionaire laptop backpack is designed with USB charging port that offers the convenience of charging your mobile on the go and Reflective printing along with inbuilt rain cover in a concealed pocket makes it most adapted for rainy conditions. This amazingly designed backpack has a hidden security pocket at the back which makes you far away from theft and protects your wallet, phone and other valuables. Apart from this there are also 2 huge compartments with laptop sleeve and tab sleeves, 3 pockets at the front with detailed organizer and interior two zip pockets and two side mesh bottle holders. Large capacity multi-compartment bag - Featuring a judicial selection of style and functionality, the offered backpack has multiple storage compartments which can be used for hassle-free and organized storage of laptops, tab, mobile phone, charger, clothes, pens, keys, bottles, books, documents, umbrella, etc. Carry anywhere, everywhere - no matter whether you count yourself among school or college-going youth or a daily commuter, this amazingly designed backpack is convenient for business, College, weekend getaways, travelling and all sorts of outdoor activities. Air mesh padding at the back panel and shoulder straps for utmost comfort. It provides the perfect amount of space for all your weekend essentials.  "
101,Tommy Hilfiger Coppel 20 Ltrs Navy Laptop Backpack (TH/COPPELLAP08),https://www.amazon.in/Hilfiger-Coppel-Backpack-TH-COPPELLAP08/dp/B07GRCXMDW,"1,739",4.0,42,B07GRWZ1ZC,F,"  Outer Material: Polyester, Color: Black    Water resistant    Capacity: 20 liters; Dimensions: 31 cms x 14 cms x 47 cms (LxWxH)    Number of compartments: 1    Laptop Compatibility: Yes, Laptop Size: 15 inches    Warranty type: Manufacturer; 1 year   "," 
"
106,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W,799,3.9,"2,430",B09B29F66W,American,"  HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings.    FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access    MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella    COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps    WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects   "," 
"
107,American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG,"1,139",4.1,"14,468",B07CJCFNZG,F,"  Laptop Compatibility: No, Strap Type: Adjustable    Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant, Capacity: 29 liters; Dimensions: 33 x 51 x 22 cms (LxHxW)    Number of Wheels: 0, Number of compartments: 3    Mesh Padding on back & shoulder strap to provide comfort & better back support   "," 
"
